value	form	character	language
malug	|GA₂×AN.LUL|	𒂼𒈜	sux
agarin4	|GA₂×AN.ŠIM|	𒂼𒋆	sux
ajarin4	|GA₂×AN.ŠIM|	𒂼𒋆	sux
agarin5	|GA₂×AN.ŠIM×GAR|	𒂼𒋋	sux
ajarin5	|GA₂×AN.ŠIM×GAR|	𒂼𒋋	sux
garinx	|GA₂×AN.ŠIM×GAR|	𒂼𒋋	sux
eme4-du2	|GA₂×AN.TU|	𒂼𒌅	sux
emedu	|GA₂×AN.TU|	𒂼𒌅	sux
ka...	|GA₂×AN.X|	𒂼░░	sux
gaiku	|GA₂×AŠ|	𒂽	sux
jaiku	|GA₂×AŠ|	𒂽	sux
iku2	|GA₂×AŠ|	𒂽	sux
gazigal	|GA₂×(AŠ₂.GAL)|	𒂾	sux
etutumx	|GA₂×BAD|	𒂿	sux
etutu	|GA₂×BAD|	𒂿	sux
sabad2	|GA₂×BAD|	𒂿	sux
sad3	|GA₂×BAD|	𒂿	sux
tilhar	|GA₂×BAD|	𒂿	sux
eburra	|GA₂×(BAR.RA)|	𒃀	sux
gaburra	|GA₂×(BAR.RA)|	𒃀	sux
LAK699	|GA₂×BUR|	𒃁	sux
jaburrax	|GA₂×BUR|	𒃁	sux
gaburra	|GA₂×(BUR.RA)|	𒃂	sux
jaburra	|GA₂×(BUR.RA)|	𒃂	sux
dan7	|GA₂×DA|	𒃃	sux
tan7	|GA₂×DA|	𒃃	sux
LAK686	|GA₂×DI|	𒃄	sux
edi	|GA₂×DI|	𒃄	sux
gadi	|GA₂×DI|	𒃄	sux
munu3	|GA₂×DIM×ŠE|	𒃅	sux
emedub	|GA₂×DUB|	𒃆	sux
gadub	|GA₂×DUB|	𒃆	sux
jasikillax	|GA₂×EL|	𒃇	sux
e)ella	|GA₂×(EL.LA)|	𒃈	sux
esikilla	|GA₂×(EL.LA)|	𒃈	sux
gasikilla	|GA₂×(EL.LA)|	𒃈	sux
jasikilla	|GA₂×(EL.LA)|	𒃈	sux
LAK682	|GA₂×EN|	𒃉	sux
menx	|GA₂×EN|	𒃉	sux
esibir	|GA₂×EN×GAN₂@t|	𒃊	sux
gasibir	|GA₂×EN×GAN₂@t|	𒃊	sux
jasibir	|GA₂×EN×GAN₂@t|	𒃊	sux
janunx	|GA₂×EN.NUN|	𒃉𒉣	sux
dan4	|GA₂×GAN₂@t|	𒃋	sux
tan4	|GA₂×GAN₂@t|	𒃋	sux
LAK691	|GA₂×GAR|	𒃌	sux
egara	|GA₂×GAR|	𒃌	sux
ejara	|GA₂×GAR|	𒃌	sux
galga	|GA₂×GAR|	𒃌	sux
jalga	|GA₂×GAR|	𒃌	sux
ichara	|GA₂×GAR|	𒃌	sux
ichuru	|GA₂×GAR|	𒃌	sux
malga	|GA₂×GAR|	𒃌	sux
LAK680	|GA₂×GI|	𒃍	sux
bisagx	|GA₂×GI|	𒃍	sux
bisanx	|GA₂×GI|	𒃍	sux
gagi2	|GA₂×GI|	𒃍	sux
gagia2	|GA₂×GI|	𒃍	sux
gurdub	|GA₂×GI|	𒃍	sux
pisagx	|GA₂×GI|	𒃍	sux
pisanx	|GA₂×GI|	𒃍	sux
LAK681	|GA₂×GI₄|	𒃎	sux
egia	|GA₂×GI₄|	𒃎	sux
gagi	|GA₂×GI₄|	𒃎	sux
gagia	|GA₂×GI₄|	𒃎	sux
gurdub2	|GA₂×GI₄|	𒃎	sux
jagia	|GA₂×GI₄|	𒃎	sux
pisagx	|GA₂×GI₄|	𒃎	sux
pisanx	|GA₂×GI₄|	𒃎	sux
jagiax	|GA₂×(GI₄.A)|	𒃏	sux
egirsu	|GA₂×(GIR₂.SU)|	𒃐	sux
gagirsu	|GA₂×(GIR₂.SU)|	𒃐	sux
jajirsu	|GA₂×(GIR₂.SU)|	𒃐	sux
halubba	|GA₂×(HA.LU.EŠ₂)|	𒃑	sux
jahallax	|GA₂×HAL|	𒃒	sux
ehalla	|GA₂×(HAL.LA)|	𒃓	sux
gahalla	|GA₂×(HAL.LA)|	𒃓	sux
jahalla	|GA₂×(HAL.LA)|	𒃓	sux
ehili	|GA₂×(HI.LI)|	𒃔	sux
gahili	|GA₂×(HI.LI)|	𒃔	sux
jahili	|GA₂×(HI.LI)|	𒃔	sux
garac	|GA₂×HUB₂|	𒃕	sux
ichuru5	|GA₂×(IŠ.HU.AŠ)|	𒃗	sux
ichurum5	|GA₂×(IŠ.HU.AŠ)|	𒃗	sux
am4	|GA₂×KAK|	𒃘	sux
ama4	|GA₂×KAK|	𒃘	sux
me7	|GA₂×KASKAL|	𒃙	sux
jalillax	|GA₂×KID|	𒃚	sux
elilla	|GA₂×(KID.LAL)|	𒃛	sux
galilla	|GA₂×(KID.LAL)|	𒃛	sux
jalilla	|GA₂×(KID.LAL)|	𒃛	sux
eazag	|GA₂×(KU₃.AN)|	𒃜	sux
ga)azag	|GA₂×(KU₃.AN)|	𒃜	sux
gazag	|GA₂×(KU₃.AN)|	𒃜	sux
jasag	|GA₂×(KU₃.AN)|	𒃜	sux
dajalx	|GA₂×LA|	𒃝	sux
dan2	|GA₂×(ME.EN)|	𒃞	sux
era3	|GA₂×(ME.EN)|	𒃞	sux
eri15	|GA₂×(ME.EN)|	𒃞	sux
men	|GA₂×(ME.EN)|	𒃞	sux
menax	|GA₂×(ME.EN)|	𒃞	sux
mi4	|GA₂×(ME.EN)|	𒃞	sux
min7	|GA₂×(ME.EN)|	𒃞	sux
tan2	|GA₂×(ME.EN)|	𒃞	sux
gagig	|GA₂×MI|	𒃟	sux
idi	|GA₂×MI|	𒃟	sux
itim	|GA₂×MI|	𒃟	sux
itima	|GA₂×MI|	𒃟	sux
utima	|GA₂×MI|	𒃟	sux
LAK678	|GA₂×NUN|	𒃠	sux
ganun	|GA₂×NUN|	𒃠	sux
janun	|GA₂×NUN|	𒃠	sux
ucuc	|GA₂×NUN|	𒃠	sux
LAK679	|GA₂×NUN&NUN|	𒃡	sux
gucur	|GA₂×NUN&NUN|	𒃡	sux
jucur	|GA₂×NUN&NUN|	𒃡	sux
ur3	|GA₂×NUN&NUN|	𒃡	sux
ura3	|GA₂×NUN&NUN|	𒃡	sux
uru12	|GA₂×NUN&NUN|	𒃡	sux
LAK676	|GA₂×PA|	𒃢	sux
MZL408	|GA₂×PA|	𒃢	sux
era4	|GA₂×PA|	𒃢	sux
eri16	|GA₂×PA|	𒃢	sux
ichara4	|GA₂×PA|	𒃢	sux
ichur4	|GA₂×PA|	𒃢	sux
ichuru4	|GA₂×PA|	𒃢	sux
sila4	|GA₂×PA|	𒃢	sux
silaku	|GA₂×PA|	𒃢	sux
LAK698	|GA₂×SAL|	𒃣	sux
[...]	|GA₂×SAL|	𒃣	sux
am5	|GA₂×SAL|	𒃣	sux
ama5	|GA₂×SAL|	𒃣	sux
ame2	|GA₂×SAL|	𒃣	sux
ami2	|GA₂×SAL|	𒃣	sux
arhuc	|GA₂×SAL|	𒃣	sux
eme8	|GA₂×SAL|	𒃣	sux
ur14	|GA₂×SAL|	𒃣	sux
uc3	|GA₂×SAL|	𒃣	sux
gazi3	|GA₂×SAR|	𒃤	sux
bara10	|GA₂×IGI@g|	𒃖	sux
gaga	|GA₂×IGI@g|	𒃖	sux
galgax	|GA₂×IGI@g|	𒃖	sux
sabad3	|GA₂×IGI@g|	𒃖	sux
sad4	|GA₂×IGI@g|	𒃖	sux
gazi2	|GA₂×SUM|	𒃨	sux
arah3	|GA₂×ŠE|	𒃥	sux
asagx	|GA₂×ŠE|	𒃥	sux
esag2	|GA₂×ŠE|	𒃥	sux
esaj2	|GA₂×ŠE|	𒃥	sux
usi	|GA₂×ŠE|	𒃥	sux
esagtur	|GA₂×(ŠE.TUR)|	𒃦	sux
esajtur	|GA₂×(ŠE.TUR)|	𒃦	sux
emedub2	|GA₂×ŠID|	𒃧	sux
dan3	|GA₂×TAK₄|	𒃩	sux
tan3	|GA₂×TAK₄|	𒃩	sux
dagx	|GA₂×U|	𒃪	sux
sabad	|GA₂×U|	𒃪	sux
sad2	|GA₂×U|	𒃪	sux
ula2	|GA₂×U|	𒃪	sux
LAK697	|GA₂×UD|	𒃫	sux
erim4	|GA₂×UD|	𒃫	sux
erin4	|GA₂×UD|	𒃫	sux
etam	|GA₂×UD|	𒃫	sux
karam	|GA₂×UD|	𒃫	sux
...e	|GA₂×(UD.DU)|	𒃬	sux
lirumx	|GA₂&GA₂|	𒃭	sux
LAK119	GABA	𒃮	sux
du8	GABA	𒃮	sux
dudda	GABA	𒃮	sux
duh	GABA	𒃮	sux
ga15	GABA	𒃮	sux
gab	GABA	𒃮	sux
gaba	GABA	𒃮	sux
gap	GABA	𒃮	sux
irtu	GABA	𒃮	sux
pitru	GABA	𒃮	sux
qab	GABA	𒃮	sux
qap	GABA	𒃮	sux
tah2	GABA	𒃮	sux
tu24	GABA	𒃮	sux
tuh	GABA	𒃮	sux
tuhu	GABA	𒃮	sux
tah2	GABA	𒃮	sux
tuh	GABA	𒃮	sux
tu5	GABA	𒃮	sux
MZL157	GAD	𒃰	sux
LAK46	GAD	𒃰	sux
LAK285	GAD	𒃰	sux
gad	GAD	𒃰	sux
gada	GAD	𒃰	sux
gadu	GAD	𒃰	sux
gat	GAD	𒃰	sux
gid4	GAD	𒃰	sux
gida4	GAD	𒃰	sux
kad	GAD	𒃰	sux
kat	GAD	𒃰	sux
kid9	GAD	𒃰	sux
kit9	GAD	𒃰	sux
kut2	GAD	𒃰	sux
qad3	GAD	𒃰	sux
qat3	GAD	𒃰	sux
qat3	GAD	𒃰	sux
qid4	GAD	𒃰	sux
[...]	|GAD.DUN₃|	𒃰𒂅	sux
akkil3	|GAD.TAK₄|	𒃰𒋺	sux
acca2	|GAD.TAK₄|	𒃰𒋺	sux
acta	|GAD.TAK₄|	𒃰𒋺	sux
kil4	|GAD.TAK₄|	𒃰𒋺	sux
[...]	|GAD.TAK₄.GIŠ|	𒃰𒋺𒄑	sux
...gi	|GAD.TAK₄.GIŠ|	𒃰𒋺𒄑	sux
gim8	|GAD.TAK₄.GIŠ|	𒃰𒋺𒄑	sux
seg8	|GAD.TAK₄.GIŠ|	𒃰𒋺𒄑	sux
sig8	|GAD.TAK₄.GIŠ|	𒃰𒋺𒄑	sux
uruaka	|GAD.TAK₄.GIŠ|	𒃰𒋺𒄑	sux
uruicdua	|GAD.TAK₄.GIŠ|	𒃰𒋺𒄑	sux
uruicduha	|GAD.TAK₄.GIŠ|	𒃰𒋺𒄑	sux
urulla	|GAD.TAK₄.GIŠ|	𒃰𒋺𒄑	sux
akkil	|GAD.TAK₄.SI|	𒃰𒋺𒋛	sux
kinda	|GAD&GAD.GAR&GAR|	𒃱	sux
LAK164	GAL	𒃲	sux
gal	GAL	𒃲	sux
gala8	GAL	𒃲	sux
gale	GAL	𒃲	sux
kal2	GAL	𒃲	sux
qal	GAL	𒃲	sux
rab2	GAL	𒃲	sux
rap2	GAL	𒃲	sux
erec5	|GAL.AN.ZU|	𒃲𒀭𒍪	sux
acgabgalx	|GAL.AŠGAB|	𒃲𒀿	sux
bahargalx	|GAL.BAR.EDIN|	𒃲𒁇𒂔	sux
ucumgal	|GAL.BUR₂|	𒃲𒁔	sux
gal-di	|GAL.DI|	𒃲𒁲	sux
galti	|GAL.DI|	𒃲𒁲	sux
dimgal	|GAL.DIM|	𒃲𒁴	sux
cidimgalx	|GAL.DIM₂|	𒃲𒁶	sux
nijirgalx	|GAL.DUN₃@g@g|	𒃲𒂇	sux
kindagal	|GAL.GAD&GAD.GAR&GAR|	𒃳	sux
kindajal	|GAL.GAD&GAD.GAR&GAR|	𒃳	sux
azlaggalx	|GAL.GIŠ.TUG₂.TE.A.DU|	𒃲𒄑𒌆𒋼𒀀𒁺	sux
sukkalgalx	|GAL.LUH|	𒃲𒈛	sux
nagargalx	|GAL.NAGAR|	𒃲𒉄	sux
santan	|GAL.NI|	𒃲𒉌	sux
santana	|GAL.NI|	𒃲𒉌	sux
candan	|GAL.NI|	𒃲𒉌	sux
candana	|GAL.NI|	𒃲𒉌	sux
ukra	|GAL.ŠUBUR|	𒃲𒋚	sux
ukur2	|GAL.ŠUBUR|	𒃲𒋚	sux
tiru	|GAL.TE|	𒃲𒋼	sux
tirum	|GAL.TE|	𒃲𒋼	sux
gallagalx	|GAL.TE.LAL|	𒃲𒋼𒇲	sux
simuggalx	|GAL.UMUM|	𒃲𒌣	sux
kindagal2	|GAL.URI|	𒃲𒌵	sux
kingal	|GAL.URU×BAR|	𒃲𒌺	sux
erictix	|GAL.ZU|	𒃲𒍪	sux
gagazu	|GAL.ZU|	𒃲𒍪	sux
gal-zu	|GAL.ZU|	𒃲𒍪	sux
LAK352	GALAM	𒃴	sux
gax	GALAM	𒃴	sux
galam	GALAM	𒃴	sux
gud5	GALAM	𒃴	sux
sukud	GALAM	𒃴	sux
sukux	GALAM	𒃴	sux
ubi	GALAM	𒃴	sux
gagalam	|GALAM.GALAM|	𒃴𒃴	sux
gibil5	|GALAM.GALAM|	𒃴𒃴	sux
LAK180	GAM	𒃵	sux
ar5	GAM	𒃵	sux
gam	GAM	𒃵	sux
gan7	GAM	𒃵	sux
girum	GAM	𒃵	sux
gum4	GAM	𒃵	sux
gur2	GAM	𒃵	sux
guru2	GAM	𒃵	sux
gurum	GAM	𒃵	sux
qam	GAM	𒃵	sux
qur3	GAM	𒃵	sux
gigirum	|GAM.GAM|	𒃵𒃵	sux
LAK644	GAN	𒃶	sux
gam4	GAN	𒃶	sux
gan	GAN	𒃶	sux
gana	GAN	𒃶	sux
he2	GAN	𒃶	sux
hi2	GAN	𒃶	sux
kan	GAN	𒃶	sux
kana	GAN	𒃶	sux
li6	GAN	𒃶	sux
qan	GAN	𒃶	sux
sag7	GAN	𒃶	sux
seg16	GAN	𒃶	sux
sig16	GAN	𒃶	sux
LAK89	GAN₂	𒃷	sux
eqlu	GAN₂	𒃷	sux
al3	GAN₂	𒃷	sux
alalx	GAN₂	𒃷	sux
aca5	GAN₂	𒃷	sux
acag	GAN₂	𒃷	sux
burux	GAN₂	𒃷	sux
ga3	GAN₂	𒃷	sux
gan2	GAN₂	𒃷	sux
gana2	GAN₂	𒃷	sux
ja3	GAN₂	𒃷	sux
girrix	GAN₂	𒃷	sux
iku	GAN₂	𒃷	sux
ichuru3	GAN₂	𒃷	sux
ichurum3	GAN₂	𒃷	sux
kalax	GAN₂	𒃷	sux
kan2	GAN₂	𒃷	sux
kana2	GAN₂	𒃷	sux
karx	GAN₂	𒃷	sux
mulu4	GAN₂	𒃷	sux
ul8	GAN₂	𒃷	sux
ululx	GAN₂	𒃷	sux
mulu4	|GAN₂.BU|	𒃷𒁍	sux
mulu4-bu	|GAN₂.BU|	𒃷𒁍	sux
canna	|GAN₂.BU|	𒃷𒁍	sux
lirumx	|GAN₂&GAN₂|	𒃹	sux
alal4	|GAN₂%GAN₂|	𒃺	sux
girrix	|GAN₂%GAN₂|	𒃺	sux
ulul2	|GAN₂%GAN₂|	𒃺	sux
LAK186	GAN₂@t	𒃸	sux
gar19	GAN₂@t	𒃸	sux
garak	GAN₂@t	𒃸	sux
gur6	GAN₂@t	𒃸	sux
guru6	GAN₂@t	𒃸	sux
ilx	GAN₂@t	𒃸	sux
kar2	GAN₂@t	𒃸	sux
kara2	GAN₂@t	𒃸	sux
kiri2	GAN₂@t	𒃸	sux
gugru	|GAN₂@t.GAN₂@t|	𒃸𒃸	sux
LAK525	GAR	𒃻	sux
MZL859	GAR	𒃻	sux
ga4	GAR	𒃻	sux
gar	GAR	𒃻	sux
gara	GAR	𒃻	sux
garak5	GAR	𒃻	sux
jar	GAR	𒃻	sux
inda3	GAR	𒃻	sux
inta3	GAR	𒃻	sux
kar5	GAR	𒃻	sux
kux	GAR	𒃻	sux
mar3	GAR	𒃻	sux
menari	GAR	𒃻	sux
mu8	GAR	𒃻	sux
neq2	GAR	𒃻	sux
ni3	GAR	𒃻	sux
nig2	GAR	𒃻	sux
nigix	GAR	𒃻	sux
nij2	GAR	𒃻	sux
nik2	GAR	𒃻	sux
nim5	GAR	𒃻	sux
nin6	GAR	𒃻	sux
ninda	GAR	𒃻	sux
nindan	GAR	𒃻	sux
ninni3	GAR	𒃻	sux
niq2	GAR	𒃻	sux
niqix	GAR	𒃻	sux
nita4	GAR	𒃻	sux
qar3	GAR	𒃻	sux
qara3	GAR	𒃻	sux
sa15	GAR	𒃻	sux
ca2	GAR	𒃻	sux
cikin	GAR	𒃻	sux
cu7	GAR	𒃻	sux
gapi	|GAR.GA₂×(A.IGI)|	𒃻𒂺	sux
nisikix	|GAR.GAD.TAK₄.UR₂|	𒃻𒃰𒋺𒌫	sux
argab	|GAR.IB|	𒃻𒅁	sux
arkab	|GAR.IB|	𒃻𒅁	sux
irkab	|GAR.IB|	𒃻𒅁	sux
gidectax	|GAR.KINGUSILI.SILA₃|	𒃻𒑜𒋡	sux
kibsur	|GAR.LAGAB|	𒃻𒆸	sux
kibcur	|GAR.LAGAB|	𒃻𒆸	sux
gug3	|GAR.LU₃|	𒃻𒈖	sux
gugina	|GAR.LU₃|	𒃻𒈖	sux
ensix	|GAR.PA.TE.SI|	𒃻𒉺𒋼𒋛	sux
balla2	|GAR.SAG.IL₂.EZEN.SAL|	𒃻𒊕𒅍𒂡𒊩	sux
balla	|GAR.SAG.IL₂.EZEN.UŠ|	𒃻𒊕𒅍𒂡𒍑	sux
kadra2	|GAR.ŠA₃|	𒃻𒊮	sux
kadra	|GAR.ŠA₃.A|	𒃻𒊮𒀀	sux
kadri	|GAR.ŠA₃.A|	𒃻𒊮𒀀	sux
kadru	|GAR.ŠA₃.A|	𒃻𒊮𒀀	sux
kadra3	|GAR.ŠA₃×A|	𒃻𒊯	sux
kadri3	|GAR.ŠA₃×A|	𒃻𒊯	sux
kadru3	|GAR.ŠA₃×A|	𒃻𒊯	sux
gidectax	|GAR.ŠANABI.SILA₃|	𒃻𒑛𒋡	sux
uttuku	|GAR.ŠID|	𒃻𒋃	sux
utugx	|GAR.ŠID|	𒃻𒋃	sux
utuqx	|GAR.ŠID|	𒃻𒋃	sux
utuku	|GAR.ŠID|	𒃻𒋃	sux
immal3	|GAR.ŠU.DUGUD|	𒃻𒋗𒂂	sux
gidecta	|GAR.ŠUŠANA.SILA₃|	𒃻𒑚𒋡	sux
LAK161	GAR₃	𒃼	sux
gar3	GAR₃	𒃼	sux
gara3	GAR₃	𒃼	sux
jar3	GAR₃	𒃼	sux
kar3	GAR₃	𒃼	sux
qar	GAR₃	𒃼	sux
qer5	GAR₃	𒃼	sux
gacan	GAŠAN	𒃽	sux
ugun2	GAŠAN	𒃽	sux
ugunu2	GAŠAN	𒃽	sux
LAK629	GEŠTIN	𒃾	sux
gectin	GEŠTIN	𒃾	sux
gectin@d	GEŠTIN	𒃾	sux
gectina	GEŠTIN	𒃾	sux
jectin	GEŠTIN	𒃾	sux
jectina	GEŠTIN	𒃾	sux
/mutin/	GEŠTIN	𒃾	sux
LAK630	|GEŠTIN×KUR|	𒃿	sux
adar3	|GEŠTIN×KUR|	𒃿	sux
ildag4	|GEŠTIN×KUR|	𒃿	sux
LAK464	GI	𒄀	sux
MZL141	GI	𒄀	sux
ecca3	GI	𒄀	sux
ge	GI	𒄀	sux
gen6	GI	𒄀	sux
gi	GI	𒄀	sux
gin6	GI	𒄀	sux
gitag	GI	𒄀	sux
ke2	GI	𒄀	sux
ki2	GI	𒄀	sux
qan2	GI	𒄀	sux
qe3	GI	𒄀	sux
qi3	GI	𒄀	sux
seg17	GI	𒄀	sux
si22	GI	𒄀	sux
sig17	GI	𒄀	sux
sissix	GI	𒄀	sux
tar5	GI	𒄀	sux
taru5	GI	𒄀	sux
kilim3	|GI.KAK|	𒄀𒆕	sux
ama3	|GI.LU|	𒄀𒇻	sux
cutumx	|GI.NA.AB.NA.TUM|	𒄀𒈾𒀊𒈾𒌈	sux
cutum	|GI.NA.AB.U.GUD|	𒄀𒈾𒀊𒌋𒄞	sux
cutum2~a	|GI.NA.AB.TUM|	𒄀𒈾𒀊𒈾𒌈	sux
cutumx~b	|E₂.GI.NA.AB.U.GUD|	𒂍𒄀𒈾𒀊𒌋𒄞	sux
cutumx~c	|E₂.GI.NA.AB.TUM|	𒄀𒈾𒀊𒈾𒌈	sux
cutumx~d	|E₂.GI.NA.AB.HI|	𒂍𒄀𒈾𒀊𒄭	sux
cudug	|GI.PAD|	𒄀𒉻	sux
MZL105	|GI%GI|	𒄃	sux
LAK465	|GI%GI|	𒄃	sux
esir4	|GI%GI|	𒄃	sux
ge16	|GI%GI|	𒄃	sux
gel	|GI%GI|	𒄃	sux
gig3	|GI%GI|	𒄃	sux
gi16	|GI%GI|	𒄃	sux
gib	|GI%GI|	𒄃	sux
gil	|GI%GI|	𒄃	sux
gili	|GI%GI|	𒄃	sux
gilibx	|GI%GI|	𒄃	sux
gilim	|GI%GI|	𒄃	sux
gillim	|GI%GI|	𒄃	sux
kil2	|GI%GI|	𒄃	sux
kilim2	|GI%GI|	𒄃	sux
qil2	|GI%GI|	𒄃	sux
qili2	|GI%GI|	𒄃	sux
unu10	|GI%GI|	𒄃	sux
LAK466	GI₄	𒄄	sux
ga8	GI₄	𒄄	sux
gagri	GI₄	𒄄	sux
ge4	GI₄	𒄄	sux
gi4	GI₄	𒄄	sux
ki8	GI₄	𒄄	sux
qe4	GI₄	𒄄	sux
qi4	GI₄	𒄄	sux
LAK467	|GI₄&GI₄|	𒄅	sux
kilx	|GI₄&GI₄|	𒄅	sux
esir5	|GI₄%GI₄|	𒄆	sux
gigi	|GI₄%GI₄|	𒄆	sux
gedim	GIDIM	𒄇	sux
gidim	GIDIM	𒄇	sux
kitim	GIDIM	𒄇	sux
ge17	GIG	𒈪𒉭	sux
gi17	GIG	𒈪𒉭	sux
gib3	GIG	𒈪𒉭	sux
gig	GIG	𒈪𒉭	sux
kij	GIG	𒈪𒉭	sux
kik	GIG	𒈪𒉭	sux
qiq	GIG	𒈪𒉭	sux
simx	GIG	𒈪𒉭	sux
LAK6	GIR₂	𒄈	sux
MZL6	GIR₂	𒄈	sux
garx	GIR₂	𒄈	sux
gir2	GIR₂	𒄈	sux
giri2	GIR₂	𒄈	sux
jir2	GIR₂	𒄈	sux
jiri2	GIR₂	𒄈	sux
irx	GIR₂	𒄈	sux
mer3	GIR₂	𒄈	sux
meri3	GIR₂	𒄈	sux
mirix	GIR₂	𒄈	sux
patru	GIR₂	𒄈	sux
ukur	GIR₂	𒄈	sux
LAK7	GIR₂@g	𒄉	sux
MZL7	GIR₂@g	𒄉	sux
ad2	GIR₂@g	𒄉	sux
adda4	GIR₂@g	𒄉	sux
addu3	GIR₂@g	𒄉	sux
at2	GIR₂@g	𒄉	sux
at2	GIR₂@g	𒄉	sux
kica2	GIR₂@g	𒄉	sux
kiceg2	GIR₂@g	𒄉	sux
kici17	GIR₂@g	𒄉	sux
kicig2	GIR₂@g	𒄉	sux
kicik2	GIR₂@g	𒄉	sux
tab2	GIR₂@g	𒄉	sux
ul4	GIR₂@g	𒄉	sux
LAK248	GIR₃	𒄊	sux
ance2	GIR₃	𒄊	sux
ancu2	GIR₃	𒄊	sux
er9	GIR₃	𒄊	sux
ger3	GIR₃	𒄊	sux
gir3	GIR₃	𒄊	sux
giri3	GIR₃	𒄊	sux
giru3	GIR₃	𒄊	sux
jir3	GIR₃	𒄊	sux
jiri3	GIR₃	𒄊	sux
huc2	GIR₃	𒄊	sux
imerix	GIR₃	𒄊	sux
ir9	GIR₃	𒄊	sux
kir10	GIR₃	𒄊	sux
kiri5	GIR₃	𒄊	sux
merx	GIR₃	𒄊	sux
mirix	GIR₃	𒄊	sux
qir7	GIR₃	𒄊	sux
sakkan	GIR₃	𒄊	sux
sumugan	GIR₃	𒄊	sux
sumugga	GIR₃	𒄊	sux
sumukan	GIR₃	𒄊	sux
sumuqan	GIR₃	𒄊	sux
cakan2	GIR₃	𒄊	sux
cakkan2	GIR₃	𒄊	sux
wir	GIR₃	𒄊	sux
caggin	|GIR₃.ARAD|	𒄊𒀴	sux
caggina	|GIR₃.ARAD|	𒄊𒀴	sux
cagina	|GIR₃.ARAD|	𒄊𒀴	sux
cakan6	|GIR₃.ARAD|	𒄊𒀴	sux
cakkana	|GIR₃.ARAD|	𒄊𒀴	sux
kicer	|GIR₃.BAR|	𒄊𒁇	sux
cer11	|GIR₃.BAR|	𒄊𒁇	sux
sakkan2	|GIR₃.GA₂×PA.A.AN|	𒄊𒃢𒀀𒀭	sux
hubud	|GIR₃.ŠU.IG|	𒄊𒋗𒅅	sux
girx	|GIR₃.ZA@t|	𒄊𒍞	sux
irgi	|GIR₃.ZA@t|	𒄊𒍞	sux
alim	|GIR₃×(A.IGI)|	𒄋	sux
alima	|GIR₃×(A.IGI)|	𒄋	sux
LAK251	|GIR₃×GAN₂@t|	𒄌	sux
gir16	|GIR₃×GAN₂@t|	𒄌	sux
giri16	|GIR₃×GAN₂@t|	𒄌	sux
girid2	|GIR₃×GAN₂@t|	𒄌	sux
jiri16	|GIR₃×GAN₂@t|	𒄌	sux
irx	|GIR₃×GAN₂@t|	𒄌	sux
LAK249	|GIR₃×IGI|	𒄍	sux
alimx	|GIR₃×IGI|	𒄍	sux
lulim	|GIR₃×(LU.IGI)|	𒄎	sux
lulima	|GIR₃×(LU.IGI)|	𒄎	sux
LAK255	|GIR₃×PA|	𒄏	sux
ance	|GIR₃×PA|	𒄏	sux
LAK589	GISAL	𒄐	sux
biz2	GISAL	𒄐	sux
gisal	GISAL	𒄐	sux
gical	GISAL	𒄐	sux
gizal	GISAL	𒄐	sux
jizzal	GISAL	𒄐	sux
jisal	GISAL	𒄐	sux
jizal	GISAL	𒄐	sux
mizal	GISAL	𒄐	sux
LAK673	GIŠ	𒄑	sux
is,u	GIŠ	𒄑	sux
es	GIŠ	𒄑	sux
ec19	GIŠ	𒄑	sux
es,	GIŠ	𒄑	sux
ez	GIŠ	𒄑	sux
gec	GIŠ	𒄑	sux
gez	GIŠ	𒄑	sux
gis	GIŠ	𒄑	sux
gic	GIŠ	𒄑	sux
gica	GIŠ	𒄑	sux
gis,	GIŠ	𒄑	sux
giz	GIŠ	𒄑	sux
jec	GIŠ	𒄑	sux
jic	GIŠ	𒄑	sux
jizzalx	GIŠ	𒄑	sux
is	GIŠ	𒄑	sux
ic6	GIŠ	𒄑	sux
is,	GIŠ	𒄑	sux
iz	GIŠ	𒄑	sux
kis2	GIŠ	𒄑	sux
mic3	GIŠ	𒄑	sux
mu9	GIŠ	𒄑	sux
nis2	GIŠ	𒄑	sux
nec2	GIŠ	𒄑	sux
nic2	GIŠ	𒄑	sux
micsun	|GIŠ.BAD|	𒄑𒁁	sux
gira2	|GIŠ.BAR|	𒄑𒁇	sux
gec-tin	|GIŠ.DIN|	𒄑𒁷	sux
wi5	|GIŠ.DIN|	𒄑𒁷	sux
gilgames	|GIŠ.DUN₃@g.MAŠ|	𒄑𒂆𒈦	sux
gilgamec	|GIŠ.DUN₃@g.MAŠ|	𒄑𒂆𒈦	sux
nisikix	|GIŠ.GAR.UMBIN|	𒄑𒃻𒌢	sux
kajeckarax	|GIŠ.KA.KAD₄|	𒄑𒅗𒆒	sux
kajeckarax	|GIŠ.KA.KAD₅|	𒄑𒅗𒆓	sux
gecbunx	|GIŠ.KI.BI|	𒄑𒆠𒁉	sux
jectukul2	|GIŠ.KU|	𒄑𒆪	sux
[...]	|GIŠ.KUL|	𒄑𒆰	sux
kulx	|GIŠ.KUL|	𒄑𒆰	sux
umma	|GIŠ.KUŠU₂|	𒄑𒆵	sux
ummenx	|GIŠ.KUŠU₂|	𒄑𒆵	sux
ummix	|GIŠ.KUŠU₂|	𒄑𒆵	sux
girix	|GIŠ.LU₂|	𒄑𒇽	sux
